DATE and TIME (UTC) 	LAT  	LON  	MAG  	DEPTH		
km	  LOCATION   					
   (Shows interactive map)  	  IRIS ID					
  (Other info)						
29-09-2023 01:54	-21.04	-68.84	4.2	108	CHILE-BOLIVIA BORDER REGION	11750471
29-09-2023 01:53	-5.22	152.82	5	39	"NEW BRITAIN REGION, P.N.G."	11750437
29-09-2023 01:39	-17.95	-178.06	4.3	461	FIJI ISLANDS REGION	11750441
29-09-2023 01:19	-4.57	153.22	5.5	57	"NEW IRELAND REGION, P.N.G."	11750430
29-09-2023 00:14	-5.27	152.74	4.7	35	"NEW BRITAIN REGION, P.N.G."	11750400
28-09-2023 23:27	-19.32	-177.91	4.9	598	FIJI ISLANDS REGION	11750391
28-09-2023 19:46	13.25	-90.22	4.6	67	NEAR COAST OF GUATEMALA	11750323
28-09-2023 19:43	-5.94	149.16	5.2	90	"NEW BRITAIN REGION, P.N.G."	11750285
28-09-2023 19:39	-5.31	152.93	4.5	10	"NEW BRITAIN REGION, P.N.G."	11750318
28-09-2023 19:21	-5.26	152.76	5.7	49	"NEW BRITAIN REGION, P.N.G."	11750246
28-09-2023 18:19	-19.2	-177.56	4.4	561	FIJI ISLANDS REGION	11750289
28-09-2023 17:40	44.25	148.63	5.8	15	KURIL ISLANDS	11750215
28-09-2023 17:26	12.54	126	4.7	10	"SAMAR, PHILIPPINES"	11750214
28-09-2023 17:06	9.06	126.51	4.9	36	"MINDANAO, PHILIPPINES"	11750207
28-09-2023 14:40	-15.58	167.72	6.1	127	VANUATU ISLANDS	11750144
28-09-2023 14:29	37.43	137.24	4.5	10	"NEAR WEST COAST OF HONSHU, JAPAN"	11750160
28-09-2023 14:00	-6.35	130.11	4.9	173	BANDA SEA	11750140
28-09-2023 12:05	18.76	-69.76	4.2	103	DOMINICAN REPUBLIC REGION	11750115
28-09-2023 11:16	-6.59	129.61	4.6	153	BANDA SEA	11750123
28-09-2023 09:05	-2.9	126.54	4.9	9	CERAM SEA	11750076
28-09-2023 06:57	-23.78	-70.25	4.2	67	NEAR COAST OF NORTHERN CHILE	11750068
28-09-2023 06:28	1.2	-78.82	4.1	53	COLOMBIA-ECUADOR BORDER REGION	11750052
28-09-2023 05:53	11.58	43.22	4.6	10	ETHIOPIA	11750042
28-09-2023 01:43	-14.89	-173.39	5	52	SAMOA ISLANDS REGION	11749999
28-09-2023 01:23	-16.03	-74.77	4.4	40	NEAR COAST OF PERU	11750002
28-09-2023 01:22	11.6	43.17	4.7	12	ETHIOPIA	11749995
28-09-2023 00:14	0.74	-26.14	4.9	10	CENTRAL MID-ATLANTIC RIDGE	11749953
28-09-2023 00:08	2.64	66.44	4.7	10	CARLSBERG RIDGE	11750402
27-09-2023 23:43	-22.21	-179.46	4.5	571	SOUTH OF FIJI ISLANDS	11749940
27-09-2023 22:54	-17.94	-178.45	4.3	590	FIJI ISLANDS REGION	11750398
27-09-2023 22:32	-2.77	128.81	4.6	10	CERAM SEA	11749930
27-09-2023 18:59	-8.23	129	4.2	10	TIMOR SEA	11749774
27-09-2023 18:00	-18.94	-178.03	4.8	613	FIJI ISLANDS REGION	11749760
27-09-2023 17:47	0.87	93.12	5.4	10	OFF W COAST OF NORTHERN SUMATRA	11749758
27-09-2023 17:37	-53.49	-134.97	5.6	10	PACIFIC-ANTARCTIC RIDGE	11749771
27-09-2023 16:15	-3.37	128.84	5	33	"SERAM, INDONESIA"	11749738
27-09-2023 16:04	15	-94.01	4.6	42	"NEAR COAST OF OAXACA, MEXICO"	11749927
27-09-2023 15:34	30.78	141.92	4.5	22	"SOUTHEAST OF HONSHU, JAPAN"	11749938
27-09-2023 10:56	-40.78	172.75	4.2	10	"OFF W. COAST OF S. ISLAND, N.Z."	11749673
27-09-2023 09:51	56.45	-168.25	4.3	6	"PRIBILOF ISLANDS, ALASKA REGION"	11749664
27-09-2023 09:07	-6.99	126.28	4.2	466	BANDA SEA	11749659
27-09-2023 08:38	-18.82	169.28	4.6	112	VANUATU ISLANDS	11749674
27-09-2023 05:40	-4.44	153.09	4.5	10	"NEW IRELAND REGION, P.N.G."	11749637
27-09-2023 02:54	31.45	141.81	5	15	"SOUTHEAST OF HONSHU, JAPAN"	11749601
27-09-2023 02:14	55.01	-160.4	5.1	52	ALASKA PENINSULA	11749595
26-09-2023 23:54	-23.08	-177.8	4.5	300	SOUTH OF FIJI ISLANDS	11749553
26-09-2023 22:21	37.54	141.51	4.5	65	"NEAR EAST COAST OF HONSHU, JAPAN"	11749494
26-09-2023 20:05	18.25	146.81	4.6	61	MARIANA ISLANDS	11749480
26-09-2023 19:56	-27.56	-71.19	4.7	41	NEAR COAST OF NORTHERN CHILE	11749478
26-09-2023 19:25	1.17	-79.1	4.5	41	NEAR COAST OF ECUADOR	11749470
26-09-2023 17:40	17.39	-94.64	4.8	142	"CHIAPAS, MEXICO"	11749414
26-09-2023 17:25	-2.08	99.96	4.4	36	"SOUTHERN SUMATRA, INDONESIA"	11749429
26-09-2023 15:54	51.47	15.98	4.5	5	POLAND	11749351
26-09-2023 14:05	-23.41	-179.81	5.2	534	SOUTH OF FIJI ISLANDS	11749281
26-09-2023 09:11	-20.24	-69.04	4.7	95	NORTHERN CHILE	11749220
26-09-2023 08:18	-28.76	-71.42	4.1	28	NEAR COAST OF CENTRAL CHILE	11749216
26-09-2023 08:04	13.18	145.05	4.8	46	MARIANA ISLANDS	11749212
26-09-2023 07:36	9.79	126.18	4.5	74	"MINDANAO, PHILIPPINES"	11749208
26-09-2023 06:53	34.9	73.89	4.5	10	PAKISTAN	11749205
26-09-2023 06:50	-10.3	161.5	4.7	81	SOLOMON ISLANDS	11749204
26-09-2023 06:21	15.06	-104.47	5.4	10	"OFF COAST OF MICHOACAN, MEXICO"	11749193
26-09-2023 05:03	-24.26	-179.82	4.3	496	SOUTH OF FIJI ISLANDS	11749197
26-09-2023 03:10	-35.28	-71.1	4.3	100	CENTRAL CHILE	11749558
26-09-2023 01:39	4.74	127.49	5.9	94	"TALAUD ISLANDS, INDONESIA"	11749141
26-09-2023 01:37	36.13	70.45	4.2	139	"HINDU KUSH REGION, AFGHANISTAN"	11749503
25-09-2023 23:39	38.33	141.3	4.5	81	"NEAR EAST COAST OF HONSHU, JAPAN"	11749121
25-09-2023 23:04	24.48	122.74	4.3	100	TAIWAN REGION	11749110
25-09-2023 15:48	-6.95	130	4.7	91	BANDA SEA	11748934
25-09-2023 13:31	47.74	-128.44	4.1	10	OFF COAST OF WASHINGTON	11748885
25-09-2023 12:11	-6.72	129.74	4.5	169	BANDA SEA	11748857
25-09-2023 06:57	13.82	-91.89	4.6	35	NEAR COAST OF GUATEMALA	11748878
25-09-2023 05:56	41.57	81.66	4.4	10	"SOUTHERN XINJIANG, CHINA"	11748941
25-09-2023 05:23	-24.03	-67.11	4.1	230	CHILE-ARGENTINA BORDER REGION	11748935
25-09-2023 05:21	-24.47	-176.98	4.7	100	SOUTH OF FIJI ISLANDS	11748786
25-09-2023 05:11	-7.15	129.11	4.8	177	BANDA SEA	11748781
25-09-2023 04:35	41.54	141.98	4.4	60	"HOKKAIDO, JAPAN REGION"	11748838
25-09-2023 04:12	-55.92	-28.4	4.9	155	SOUTH SANDWICH ISLANDS REGION	11748767
25-09-2023 03:37	33.84	136.97	4.4	368	NEAR S. COAST OF WESTERN HONSHU	11748755
25-09-2023 02:44	53.3	159.66	4.2	69	NEAR EAST COAST OF KAMCHATKA	11748765
25-09-2023 01:48	38.11	22.59	4	10	GREECE	11749126
